asin,stars,title,text,date,verified,helpful,scraped_at
B0FLYHVT6Y,5.0,Size and colour is good.,"Good product, size is perfect.",15 July 2026,True,One person found this helpful,2026-07-24T14:15:55
B0FLYHVT6Y,3.0,OKAY,"Okayish. Not for heavy traveller, plastic smell too strong and the quality could be improved, it is very delicate but looks very nice so aesthetically superb but quality is mid. Old American touristers are the best in terms of quality and firmness not about functionality and looks. I have read lots of reviews before purchasing it so I dare not use the lock system as several customers reports of not able to unlock it later and you have to be careful about the zipper and also for frequent and heavy traveller and especially the Indian airlines ground staff handling baggage , if they slam it throw it pooff then done. And saw many people facing after sales support issues so lets see how long this last and also the warranty registration should be done within 3 days of purchase and three tome separately for those buying 3 set. And its sold by a 3rd party bur fulfilled by Amazon either an FBA item or CSBA so try your luck talking nicely to an Amazon customer service for issues after purchase, they sud be able to help.",7 July 2026,True,9 people found this helpful,2026-07-24T14:15:55
B0FLYHVT6Y,4.0,its worth according the price,It to good and perfect size bt thin material,12 July 2026,True,3 people found this helpful,2026-07-24T14:15:55
B0FLYHVT6Y,5.0,Good amazing product thank you amzon,Good for travel very Full for abroad travelling packing is very good,13 July 2026,True,3 people found this helpful,2026-07-24T14:15:55
B0FLYHVT6Y,4.0,Quality,Same as described. Handle quality slightly a let down,15 July 2026,True,,2026-07-24T14:15:56
B097GSSCLC,5.0,Very affordable and premium look luggage with large space,"Its very beautiful in look and very much space as well. Very good in quality, must buy item.",12 July 2026,True,5 people found this helpful,2026-07-24T14:16:26
B097GSSCLC,4.0,Awesome quality,"It is very good product for design, flexibility and weight carrying. It's zipper quality is very well.

Value for money and durability soild

Fancy colour also",6 July 2026,True,4 people found this helpful,2026-07-24T14:16:26
B097GSSCLC,5.0,Great Product,"I recently bought this luggage and I am happy with the purchase. The wheels glide smoothly, making it easy to maneuver. The finishing is impressive, and the build is strong and durable. The internal zip adds great utility. Overall, it has been a good experience.",5 July 2026,True,4 people found this helpful,2026-07-24T14:16:26
B097GSSCLC,5.0,Lovedddd it!!!!,Great product at this price!!! Top notch quality as well as fast delivery!! I’m so happy with the purchase,13 July 2026,True,2 people found this helpful,2026-07-24T14:16:26
B097GSSCLC,4.0,"Classy, sturdy, and worthy....","Nyc product, quality is also nyc. Still lets see after the first trip with this trolley . Overall color is nyc, and quality is good.",12 May 2026,True,11 people found this helpful,2026-07-24T14:16:26
B097GSSCLC,3.0,The Quality of trolly bag,"Overall product is good but need to improve plastic fiber shield because this is very thin plastic shield. So that product can last for a long time.

After opening the bag, [it is] the part that joins the two sections in the middle... That's also not strong or long durability joint part.

Need to improvement in over-all bag quality....",25 May 2026,True,24 people found this helpful,2026-07-24T14:16:26
B097GSSCLC,5.0,Amazing trolly,"Very beautiful and quality trolly ,easy to carry anywhere.",10 July 2026,True,2 people found this helpful,2026-07-24T14:16:26
B097GSSCLC,4.0,Lock isn't opening,Product is good but small trolley bag lock is not unlocking what to do witho,7 July 2026,True,4 people found this helpful,2026-07-24T14:16:26
B0F67KYF8J,5.0,Excellent product 🤩,"I recently purchased the Safari Medium Genius Alley 66 cm trolley, and I'm very satisfied with the overall quality. The suitcase feels sturdy and well-built, with a premium finish that gives confidence it can handle regular travel. The wheels roll smoothly, the handle is comfortable to use, and the storage space is perfect for medium-length trips.

Considering the build quality, design, and functionality, it's definitely worth the price. It looks stylish and offers great value for money. If you're looking for a reliable and durable medium-sized trolley, I would definitely recommend this one.",3 July 2026,True,22 people found this helpful,2026-07-24T14:16:57
B0F67KYF8J,4.0,Quality of the Product,"Product is just as expected!

Good Quality and also Light Weighted.

Has a 3 Year Warranty which is a great perk! Size is what it should be Large,Medium and Small. Appears nice at a glance.Worth the Price.",4 June 2026,True,26 people found this helpful,2026-07-24T14:16:57
B0F67KYF8J,5.0,"Good in quality, value for money",Quality is too good,11 July 2026,True,2 people found this helpful,2026-07-24T14:16:57
B0F67KYF8J,5.0,Size and colour is good.,"Good product, size is perfect.",15 July 2026,True,One person found this helpful,2026-07-24T14:16:58
